sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.6,-0.01540778906846051,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.5839195979899499,-0.015252936917018265,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.5678391959798996,-0.015098084765576895,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.5517587939698494,-0.014943232614135087,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.5356783919597992,-0.014788380462693037,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.519597989949749,-0.014633528311251507,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.5035175879396985,-0.014478676159809401,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.4874371859296482,-0.01432382400836783,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.471356783919598,-0.014168971856926147,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.4552763819095478,-0.014014119705484527,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.4391959798994975,-0.013859267554041977,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.4231155778894473,-0.01370441540260062,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.407035175879397,-0.013549563251158993,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.3909547738693468,-0.013394711099716902,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.3748743718592966,-0.013239858948274844,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.3587939698492464,-0.013085006796833425,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.342713567839196,-0.012930154645391167,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.3266331658291457,-0.012775302493949484,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.3105527638190955,-0.01262045034250792,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.2944723618090452,-0.012465598191065925,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.278391959798995,-0.012310746039623854,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.2623115577889448,-0.012155893888182518,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.2462311557788945,-0.012001041736740773,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.2301507537688443,-0.011846189585298855,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.214070351758794,-0.01169133743385722,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.1979899497487438,-0.011536485282415295,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.1819095477386936,-0.011381633130973064,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.1658291457286434,-0.011226780979532034,,,0.0,2014-2024
NBA,LogisticGAM,Expected FG,angle,continuous_pdp,-1.1497487437185931,-0.011071928828089984,,,0.0,2014-2024
