sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,0.0,0.28365564057145465,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,0.3015075376884422,0.276863827898492,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,0.6030150753768844,0.2700720152255295,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,0.9045226130653266,0.2632802025525672,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,1.2060301507537687,0.2564883898796046,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,1.507537688442211,0.2496965772066426,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,1.809045226130653,0.24290476453367996,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,2.1105527638190953,0.23611295186071737,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,2.4120603015075375,0.22932113918775482,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,2.7135678391959797,0.22252932651479257,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,3.015075376884422,0.2157375138418301,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,3.316582914572864,0.2089457011688677,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,3.618090452261306,0.20215388849590518,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,3.9195979899497484,0.19536207582294257,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,4.221105527638191,0.18857026314998,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,4.522613065326633,0.18177845047701754,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,4.824120603015075,0.17498663780405505,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,5.125628140703517,0.17737950764220276,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,5.427135678391959,0.17058769496924064,,,13.0,2014-2024
NBA,LogisticGAM,Expected FG,distance,continuous_pdp,5.7286432160804015,0.1637958822962775,,,13.0,2014-2024
