sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.0,0.013103858565367646,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.0251256281407035,0.012774615887846301,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.050251256281407,0.012445373210324049,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.0753768844221105,0.012116130532802763,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.100502512562814,0.011786887855280904,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.1256281407035176,0.01145764517775862,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.150753768844221,0.011128402500237045,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.1758793969849246,0.010799159822715398,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.2010050251256281,0.010469917145193457,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.2261306532663316,0.010140674467671557,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.2512562814070352,0.009811431790149695,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.2763819095477387,0.009482189112628107,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.3015075376884422,0.009152946435106245,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.3266331658291457,0.008823703757584477,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.3517587939698492,0.0084944610800624,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.3768844221105527,0.008165218402540874,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.4020100502512562,0.007835975725019095,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.4271356783919598,0.00750673304749707,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.4522613065326633,0.0071774903699751876,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.4773869346733668,0.006848247692453412,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.5025125628140703,0.0065190050149317585,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.5276381909547738,0.006189762337409824,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.5527638190954773,0.005860519659887941,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.5778894472361809,0.005531276982366492,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,1.6030150753768844,0.0052020343048449005,,,2.0,2014-2024
