variable_name,variable_kind,raw_source_columns,engineered_from,current_formula,used_in_xfg,used_in_gam,used_in_sdi,used_in_app,intended_sdi_direction,notes
GRID_TYPE,raw,GRID_TYPE,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
GAME_ID,raw,GAME_ID,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
GAME_EVENT_ID,raw,GAME_EVENT_ID,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
PLAYER_ID,raw,PLAYER_ID,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
PLAYER_NAME,raw,PLAYER_NAME,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
TEAM_ID,raw,TEAM_ID,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
TEAM_NAME,raw,TEAM_NAME,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
PERIOD,raw,PERIOD,,,True,True,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
MINUTES_REMAINING,raw,MINUTES_REMAINING,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
SECONDS_REMAINING,raw,SECONDS_REMAINING,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
EVENT_TYPE,raw,EVENT_TYPE,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
ACTION_TYPE,raw,ACTION_TYPE,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
SHOT_TYPE,raw,SHOT_TYPE,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
SHOT_ZONE_BASIC,raw,SHOT_ZONE_BASIC,,,True,False,True,True,not applicable,Raw archive column discovered from full NBA shot archive.
SHOT_ZONE_AREA,raw,SHOT_ZONE_AREA,,,True,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
SHOT_ZONE_RANGE,raw,SHOT_ZONE_RANGE,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
SHOT_DISTANCE,raw,SHOT_DISTANCE,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
LOC_X,raw,LOC_X,,,True,True,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
LOC_Y,raw,LOC_Y,,,True,True,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
SHOT_ATTEMPTED_FLAG,raw,SHOT_ATTEMPTED_FLAG,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
SHOT_MADE_FLAG,raw,SHOT_MADE_FLAG,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
GAME_DATE,raw,GAME_DATE,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
HTM,raw,HTM,,,False,False,False,False,not applicable,Raw archive column discovered from full NBA shot archive.
