variable_name,used_in_xfg,used_in_gam,used_in_sdi,used_in_app
LOC_X,True,True,False,False
LOC_Y,True,True,False,False
PERIOD,True,True,False,False
SHOT_ZONE_AREA,True,False,False,False
SHOT_ZONE_BASIC,True,False,True,True
abs_shot_angle,False,False,False,True
game_minutes_elapsed,False,False,True,True
is_clutch,True,True,False,False
is_dunk,True,True,False,False
is_floater,True,True,False,False
is_hook,True,True,False,False
is_jump_shot,True,False,False,False
is_jump_shot_2,False,True,False,False
is_jump_shot_3,False,True,False,False
is_layup,True,True,False,False
seconds_in_period,True,True,False,False
shot_angle,True,True,False,True
shot_distance_feet,True,True,True,True
shot_type_cat,False,False,True,True
xP_prob,False,False,False,True
