player,PLAYER_ID,role,cluster_id,cluster_confidence,archetype,avg_distance,avg_xFG,avg_sdi,actual_fg_pct,pullup_rate,usage_pct,attempts_per_game,total_attempts,games_played,pct_rim,pct_midrange,pct_3pt,pct_corner_3,distance_std,distance_iqr,distance_entropy,layup_rate,dunk_rate,hook_rate,floater_rate
LeBron James,2544,Wing,Wing-2,0.7479862038004846,Wing - Role Player (Mixed),11.799319727891156,0.49780817393579074,0.41673769176283,0.5017006802721088,0.5663265306122449,0.27457877630391,16.333333333333332,588,36,0.54421768707483,0.1717687074829932,0.2840136054421769,0.056122448979591844,10.230921474690328,21.0,1.5970132283699106,0.32482993197278914,0.09523809523809523,0.011904761904761904,0.04421768707482993
Kevin Durant,201142,Wing,Wing-0,0.999991494083023,Wing - Mid-Range Specialist (High Usage),15.88255033557047,0.4321578804145103,0.4967730992634389,0.5055928411633109,0.8870246085011185,0.2625283634150551,17.88,894,50,0.3713646532438479,0.30648769574944074,0.32214765100671144,0.030201342281879196,7.895926330396247,14.75,1.49442079799436,0.06823266219239374,0.04138702460850112,0.003355704697986577,0.052572706935123045
Al Horford,201143,Wing,Wing-1,0.9999981665839057,Wing - Role Player (Mixed) (Low Usage),18.28125,0.4120222081250074,0.49899598622086433,0.42857142857142855,0.7589285714285714,0.1571762876071522,6.588235294117647,224,34,0.2901785714285714,0.0625,0.6473214285714285,0.1607142857142857,9.536166994222793,17.0,1.3451301145307282,0.13839285714285715,0.013392857142857142,0.08482142857142858,0.049107142857142856
Russell Westbrook,201566,Wing,Wing-2,0.9999915938468052,Wing - Role Player (Mixed),14.948755490483162,0.43719730002774776,0.46200252872436676,0.43045387994143486,0.6588579795021962,0.25125902354062374,13.134615384615385,683,52,0.42020497803806733,0.1259150805270864,0.4538799414348462,0.13177159590043924,10.000235073642221,21.0,1.523139379933516,0.3279648609077599,0.010248901903367497,0.0,0.008784773060029283
Brook Lopez,201572,Guard,Guard-0,1.0,Guard - Perimeter-Focused (Low Usage),20.145833333333332,0.40133678770669634,0.4844213899133266,0.3854166666666667,0.8402777777777778,0.17571511672261214,6.260869565217392,288,46,0.2569444444444444,0.05555555555555555,0.6875,0.12152777777777778,9.305851255839999,15.25,1.3392548204276362,0.09375,0.020833333333333332,0.027777777777777776,0.06597222222222222
James Harden,201935,Wing,Wing-2,0.9985167397687308,Wing - Role Player (Mixed),16.324626865671643,0.4221434249803595,0.5145957046434219,0.42039800995024873,0.7798507462686567,0.2963802349104744,17.106382978723403,804,47,0.4104477611940298,0.08208955223880597,0.5074626865671642,0.028606965174129355,10.58007905038536,22.0,1.4571702518911058,0.21641791044776118,0.0,0.0037313432835820895,0.16044776119402984
Stephen Curry,201939,Guard,Guard-2,1.0,Guard - Perimeter-Focused (High Usage),19.022849462365592,0.4011723026236735,0.5049177612039404,0.46774193548387094,0.7553763440860215,0.3111064909552263,19.076923076923077,744,39,0.27553763440860213,0.12231182795698925,0.6021505376344085,0.040322580645161296,10.338068236257836,19.0,1.4337339457597449,0.23655913978494625,0.0013440860215053765,0.004032258064516129,0.056451612903225805
DeMar DeRozan,201942,Wing,Wing-0,1.0,Wing - Mid-Range Specialist (High Usage),13.967957276368491,0.4353988352751565,0.4885911489500109,0.4939919893190921,0.8317757009345794,0.21580637421632257,13.375,749,56,0.3604806408544726,0.4766355140186916,0.1628838451268358,0.06141522029372497,7.279304685480239,10.0,1.5107907822272357,0.14552736982643524,0.009345794392523364,0.0,0.05473965287049399
Jrue Holiday,201950,Wing,Wing-2,0.9911913187607096,Wing - Role Player (Mixed),15.780346820809248,0.4304639476048271,0.47461198675918576,0.45375722543352603,0.7254335260115607,0.22404119343001921,12.814814814814815,346,27,0.4219653179190751,0.0838150289017341,0.4942196531791907,0.05202312138728324,10.00627431547167,20.0,1.433142507213748,0.22254335260115607,0.005780346820809248,0.03468208092485549,0.08670520231213873
Paul George,202331,Guard,Guard-4,1.0,Guard - Mid-Range Specialist,17.2909604519774,0.42491524088026583,0.4866343411058015,0.423728813559322,0.8305084745762712,0.21677959175416234,13.11111111111111,354,27,0.2655367231638418,0.2457627118644068,0.4887005649717514,0.1271186440677966,9.095189257522877,15.0,1.5017034449233213,0.1497175141242938,0.011299435028248588,0.0,0.03389830508474576
Jonas Valančiūnas,202685,Big,Big-1,1.0,Big - Paint-Dominant (High Usage),6.966911764705882,0.5242624008756704,0.3175770554395738,0.5772058823529411,0.41544117647058826,0.2559935660542897,6.325581395348837,272,43,0.7610294117647058,0.17279411764705882,0.0661764705882353,0.003676470588235294,6.850189806911177,9.0,1.3475963978740533,0.3235294117647059,0.0625,0.1948529411764706,0.04779411764705882
Klay Thompson,202691,Guard,Guard-1,1.0,Guard - Perimeter-Focused,21.127906976744185,0.39010913154381266,0.5395262320681903,0.3875968992248062,0.9224806201550387,0.2087433885632529,10.53061224489796,516,49,0.12403100775193798,0.15310077519379844,0.7228682170542635,0.18023255813953487,7.049555262366209,5.0,1.1999977770246257,0.07751937984496124,0.0,0.0,0.029069767441860465
Kawhi Leonard,202695,Wing,Wing-0,0.973919391844946,Wing - Mid-Range Specialist (High Usage),15.016089108910892,0.4420807733786534,0.4567659088469948,0.49133663366336633,0.8094059405940595,0.3304241691468254,19.70731707317073,808,41,0.43564356435643564,0.2079207920792079,0.3564356435643565,0.04084158415841584,8.979171191884305,17.0,1.560517239096065,0.1311881188118812,0.039603960396039604,0.019801980198019802,0.07301980198019802
Nikola Vučević,202696,Wing,Wing-2,0.9942568867420256,Wing - Role Player (Mixed),12.441558441558442,0.4572554653427655,0.3962721246485172,0.5036075036075036,0.5887445887445888,0.21544512429934534,13.588235294117647,693,51,0.5728715728715729,0.09523809523809523,0.33189033189033185,0.030303030303030304,10.08739864586418,21.0,1.4728905422306182,0.19336219336219337,0.021645021645021644,0.1847041847041847,0.16017316017316016
Tobias Harris,202699,Wing,Wing-2,0.9999999864742005,Wing - Role Player (Mixed),13.417302798982188,0.46140446133494223,0.45550775799414245,0.455470737913486,0.7353689567430025,0.1836146538932972,10.621621621621621,393,37,0.46564885496183206,0.16030534351145037,0.3740458015267175,0.15776081424936386,9.367165071784443,18.0,1.576817759514907,0.2010178117048346,0.04580152671755725,0.015267175572519083,0.0916030534351145
Jimmy Butler III,202710,Wing,Wing-0,0.9998636683291374,Wing - Mid-Range Specialist (High Usage),8.796536796536797,0.5119032340720473,0.3964448703768804,0.5194805194805194,0.46320346320346323,0.22576022905177642,12.157894736842104,462,38,0.6645021645021645,0.15151515151515152,0.18398268398268397,0.08225108225108226,8.901835641314504,12.75,1.5171858536464806,0.44805194805194803,0.0670995670995671,0.010822510822510822,0.08874458874458875
Anthony Davis,203076,Wing,Wing-0,0.9999800779402028,Wing - Mid-Range Specialist (High Usage),8.718562874251496,0.5355646381494552,0.3620117454757258,0.5059880239520959,0.5269461077844312,0.2711524895436503,16.7,334,20,0.6676646706586826,0.2215568862275449,0.11077844311377245,0.017964071856287428,8.352508553103586,13.0,1.5227416332380956,0.281437125748503,0.1407185628742515,0.04491017964071856,0.1317365269461078
Andre Drummond,203083,Big,Big-2,1.0,Big - Paint-Dominant (Low Usage),6.838709677419355,0.5706141092415805,0.3104387023152807,0.5023041474654378,0.271889400921659,0.14620771744860306,5.7105263157894735,217,38,0.7603686635944701,0.004608294930875576,0.2350230414746544,0.1935483870967742,9.372772535062731,8.0,1.1430550118405371,0.5069124423963134,0.12903225806451613,0.09216589861751152,0.03225806451612903
Harrison Barnes,203084,Guard,Guard-0,1.0,Guard - Perimeter-Focused (Low Usage),16.68337129840547,0.43777214073262816,0.4705180019613789,0.44419134396355353,0.7722095671981777,0.14856308167299706,8.12962962962963,439,54,0.3416856492027335,0.0387243735763098,0.6195899772209568,0.32801822323462415,9.8721263214221,19.5,1.4991460626682724,0.17995444191343962,0.018223234624145785,0.022779043280182234,0.07289293849658314
Draymond Green,203110,Guard,Guard-0,1.0,Guard - Perimeter-Focused (Low Usage),17.049562682215743,0.43843883616480206,0.41850147708730856,0.41690962099125367,0.717201166180758,0.16680874554110325,7.456521739130435,343,46,0.33819241982507287,0.037900874635568516,0.6239067055393586,0.20408163265306123,10.351167043619721,21.0,1.395973381767599,0.25072886297376096,0.01749271137026239,0.014577259475218658,0.0728862973760933
Khris Middleton,203114,Guard,Guard-4,1.0,Guard - Mid-Range Specialist,15.294303797468354,0.4302668982710297,0.49704361790612084,0.4272151898734177,0.8037974683544303,0.1907505079937124,8.777777777777779,316,36,0.3227848101265823,0.34177215189873417,0.33544303797468356,0.10126582278481013,8.564902495175213,15.0,1.5679149583514502,0.1550632911392405,0.0,0.028481012658227847,0.09177215189873418
CJ McCollum,203468,Wing,Wing-2,0.9987169302488483,Wing - Role Player (Mixed),16.167095115681235,0.42360808197844707,0.5066397289979413,0.455012853470437,0.8419023136246787,0.2457509876704003,15.254901960784315,778,51,0.3611825192802056,0.19408740359897173,0.44473007712082263,0.06683804627249357,9.474091042131503,18.0,1.5746186878315513,0.15038560411311053,0.0038560411311053984,0.0038560411311053984,0.1928020565552699
Dennis Schröder,203471,Wing,Wing-2,0.999999916833488,Wing - Role Player (Mixed),15.043763676148796,0.42407285703400754,0.49284973603458226,0.40043763676148797,0.7308533916849015,0.22261769674888715,10.386363636363637,457,44,0.40700218818380746,0.19693654266958424,0.39606126914660833,0.0612691466083151,9.54664503465551,20.0,1.5679158809987173,0.26914660831509846,0.0,0.0,0.13347921225382933
Kentavious Caldwell-Pope,203484,Guard,Guard-4,1.0,Guard - Mid-Range Specialist,17.038251366120218,0.42489895629068475,0.5042152604307333,0.4098360655737705,0.8032786885245902,0.1726141197744269,7.176470588235294,366,51,0.3005464480874317,0.22404371584699453,0.47540983606557374,0.09562841530054644,9.06649174434856,16.75,1.4591363029444957,0.18032786885245902,0.01639344262295082,0.0,0.05737704918032787
Rudy Gobert,203497,Big,Big-0,1.0,Big - Paint-Dominant (Low Usage),1.8513119533527698,0.7055131348012165,0.21752589169241554,0.7026239067055393,0.04664723032069971,0.1243940419569379,6.351851851851852,343,54,0.9766763848396501,0.01749271137026239,0.0058309037900874635,0.0029154518950437317,2.9752472547608475,2.0,0.6328566180155221,0.4956268221574344,0.43440233236151604,0.023323615160349854,0.029154518950437316
Tim Hardaway Jr.,203501,Guard,Guard-1,1.0,Guard - Perimeter-Focused,20.281767955801104,0.40282841727434143,0.516486421160364,0.4530386740331492,0.861878453038674,0.17769430185380286,10.055555555555555,543,54,0.17863720073664824,0.12338858195211787,0.6979742173112339,0.13443830570902393,8.487660840093817,10.0,1.2657173218309279,0.10681399631675875,0.02394106813996317,0.0055248618784530384,0.04604051565377532
Giannis Antetokounmpo,203507,Big,Big-1,1.0,Big - Paint-Dominant (High Usage),5.675564681724846,0.608220595895828,0.31905505654649446,0.6447638603696099,0.25667351129363447,0.34944616057672184,16.79310344827586,487,29,0.7823408624229979,0.13963039014373715,0.07802874743326489,0.002053388090349076,7.946676612041238,6.5,1.1999648201352737,0.4887063655030801,0.24229979466119098,0.012320328542094456,0.014373716632443531
Zach LaVine,203897,Wing,Wing-2,0.999997869314099,Wing - Role Player (Mixed),16.23765996343693,0.4422071723479919,0.4916608218734626,0.4789762340036563,0.6910420475319927,0.23475991396327103,14.025641025641026,547,39,0.3583180987202925,0.1773308957952468,0.4643510054844607,0.09689213893967094,10.262230637847853,21.0,1.532225919509113,0.2522851919561243,0.05301645338208409,0.003656307129798903,0.03656307129798903
Jordan Clarkson,203903,Wing,Wing-2,0.999991334172623,Wing - Role Player (Mixed),14.561097256857856,0.44244684659707356,0.4724364205316499,0.4314214463840399,0.7581047381546134,0.20492023807464058,7.862745098039215,401,51,0.4513715710723192,0.08478802992518704,0.46384039900249374,0.19201995012468828,9.923299995113393,19.0,1.5697946885634384,0.20448877805486285,0.014962593516209476,0.022443890274314215,0.16209476309226933
Jerami Grant,203924,Wing,Wing-2,0.9943220513878185,Wing - Role Player (Mixed),14.056925996204933,0.4641556202957946,0.46186097250643193,0.43833017077798864,0.6015180265654649,0.23782680716423038,13.175,527,40,0.4554079696394687,0.0777988614800759,0.4667931688804554,0.17836812144212524,10.50423526932696,21.0,1.5254837311140104,0.3396584440227704,0.03795066413662239,0.017077798861480076,0.03984819734345351
Aaron Gordon,203932,Wing,Wing-2,0.9963797150408895,Wing - Role Player (Mixed),13.293040293040294,0.48934093919466665,0.4343458575556166,0.5091575091575091,0.5934065934065934,0.22849902650502327,11.869565217391305,273,23,0.48717948717948717,0.1282051282051282,0.3846153846153846,0.08424908424908426,10.506398046610059,23.0,1.5554108056151936,0.27472527472527475,0.10622710622710622,0.014652014652014652,0.02564102564102564
Marcus Smart,203935,Guard,Guard-0,1.0,Guard - Perimeter-Focused (Low Usage),17.384615384615383,0.42064356339142994,0.45755255801488703,0.4017094017094017,0.8034188034188035,0.15866331088739247,7.9772727272727275,351,44,0.3418803418803419,0.05982905982905983,0.5982905982905983,0.16809116809116809,9.835660617376941,18.0,1.4468037110204306,0.18518518518518517,0.002849002849002849,0.008547008547008548,0.11396011396011396
Julius Randle,203944,Wing,Wing-2,0.9629529489574951,Wing - Role Player (Mixed),11.866442199775532,0.48342763125821525,0.42451237536366815,0.49158249158249157,0.6094276094276094,0.2588664954615895,15.910714285714286,891,56,0.5589225589225589,0.14029180695847362,0.3007856341189674,0.06734006734006734,9.772876166400055,21.0,1.580771587886468,0.31425364758698093,0.05499438832772166,0.008978675645342313,0.0718294051627385
