player,avg_xFG,actual_fg_pct,makes,attempts,avg_residual,residual_fg_pct
Luke Kennard,0.4187320857762218,0.5454545454545454,144,264,0.12672245967832366,0.12672245967832363
Nikola Jokić,0.4720591797452798,0.5900900900900901,393,666,0.11803091034481031,0.11803091034481028
Sam Merrill,0.3883199971844792,0.4842105263157895,138,285,0.09589052913131026,0.0958905291313103
Shai Gilgeous-Alexander,0.45888039698442085,0.553941908713693,534,964,0.09506151172927206,0.09506151172927213
Luka Garza,0.4889499121846226,0.5825688073394495,127,218,0.09361889515482695,0.09361889515482691
Deandre Ayton,0.5825506233292763,0.6747572815533981,278,412,0.09220665822412175,0.09220665822412177
T.J. McConnell,0.4559072343172184,0.5393939393939394,178,330,0.08348670507672096,0.08348670507672101
Cam Spencer,0.3967062479975387,0.47665847665847666,194,407,0.07995222866093796,0.07995222866093799
Kevin Durant,0.4321578804145103,0.5055928411633109,452,894,0.07343496074880061,0.07343496074880063
Austin Reaves,0.4400864892182105,0.5080831408775982,220,433,0.06799665165938763,0.06799665165938773
Stephen Curry,0.4011723026236735,0.46774193548387094,348,744,0.0665696328601975,0.06656963286019746
Naji Marshall,0.46610752317352144,0.532608695652174,294,552,0.06650117247865252,0.0665011724786525
AJ Green,0.3764442404400402,0.4398976982097187,172,391,0.06345345776967848,0.06345345776967848
Luka Dončić,0.41075124277948377,0.4734561213434453,437,923,0.06270487856396151,0.06270487856396151
Maxime Raynaud,0.4899589464037761,0.5524861878453039,200,362,0.06252724144152783,0.06252724144152783
Vít Krejčí,0.40135340821819493,0.46348314606741575,165,356,0.06212973784922076,0.06212973784922082
Rui Hachimura,0.45118184802388817,0.511002444987775,209,409,0.05982059696388686,0.05982059696388686
DeMar DeRozan,0.4353988352751565,0.4939919893190921,370,749,0.05859315404393563,0.058593154043935614
Jamal Murray,0.42737657138377877,0.48452508004268946,454,937,0.05714850865891068,0.05714850865891069
Payton Pritchard,0.4059243451568025,0.46236559139784944,344,744,0.056441246241046975,0.05644124624104696
Bobby Portis,0.42700437403226615,0.48300536672629696,270,559,0.05600099269403082,0.056000992694030804
Kon Knueppel,0.42844821338182615,0.48409405255878285,350,723,0.05564583917695671,0.0556458391769567
Donovan Mitchell,0.4329398474980771,0.4867924528301887,516,1060,0.05385260533211155,0.05385260533211156
Jonas Valančiūnas,0.5242624008756704,0.5772058823529411,157,272,0.052943481477270696,0.05294348147727068
Tim Hardaway Jr.,0.40282841727434143,0.4530386740331492,246,543,0.050210256758807754,0.05021025675880775
Kawhi Leonard,0.4420807733786534,0.49133663366336633,397,808,0.04925586028471293,0.049255860284712905
Keldon Johnson,0.5017899764098389,0.5485148514851486,277,505,0.04672487507530965,0.046724875075309646
Nikola Vučević,0.4572554653427655,0.5036075036075036,349,693,0.0463520382647381,0.046352038264738105
Jordan Miller,0.4663403446677728,0.5124378109452736,103,201,0.04609746627750081,0.04609746627750083
Svi Mykhailiuk,0.4323520466698093,0.4778481012658228,151,316,0.04549605459601347,0.04549605459601347
Anfernee Simons,0.3972120530911199,0.4423076923076923,276,624,0.04509563921657244,0.04509563921657239
Mikal Bridges,0.45947502068697704,0.5043227665706052,350,694,0.044847745883628186,0.04484774588362811
Isaiah Joe,0.3962532077169602,0.4409221902017291,153,347,0.04466898248476886,0.044668982484768915
John Collins,0.5215323059894708,0.5655737704918032,276,488,0.04404146450233253,0.044041464502332484
Collin Gillespie,0.3904850241793583,0.4340277777777778,250,576,0.04354275359841943,0.04354275359841947
Duncan Robinson,0.39835996632517584,0.44142259414225943,211,478,0.04306262781708353,0.04306262781708359
Anthony Edwards,0.4502542708593471,0.4925531914893617,463,940,0.04229892063001463,0.042298920630014614
Tre Jones,0.5073957710183749,0.5496688741721855,166,302,0.042273103153810575,0.04227310315381061
Royce O'Neale,0.382960124540778,0.42398286937901497,198,467,0.04102274483823697,0.04102274483823698
Jalen Brunson,0.43074381277233453,0.4697265625,481,1024,0.03898274972766547,0.03898274972766547
Bones Hyland,0.4276360924340274,0.46616541353383456,124,266,0.03852932109980721,0.03852932109980717
Naz Reid,0.43210662224854096,0.4692913385826772,298,635,0.03718471633413619,0.037184716334136225
Zach LaVine,0.4422071723479919,0.4789762340036563,262,547,0.03676906165566444,0.0367690616556644
De'Aaron Fox,0.44694842338723134,0.4836795252225519,326,674,0.03673110183532062,0.03673110183532058
Giannis Antetokounmpo,0.608220595895828,0.6447638603696099,314,487,0.03654326447378186,0.03654326447378187
Isaiah Collier,0.473116805424644,0.5095890410958904,186,365,0.036472235671246384,0.03647223567124641
Jaylen Brown,0.44694439687299214,0.4832579185520362,534,1105,0.03631352167904405,0.03631352167904406
Sam Hauser,0.37402383456797034,0.4092071611253197,160,391,0.03518332655734939,0.03518332655734935
Sandro Mamukelashvili,0.4895539743098395,0.5245901639344263,224,427,0.03503618962458676,0.03503618962458677
Jock Landale,0.4934087856753643,0.5275779376498801,220,417,0.034169151974515845,0.034169151974515866
Tre Johnson,0.40587708262216826,0.4397163120567376,186,423,0.0338392294345693,0.03383922943456935
Immanuel Quickley,0.411887631504002,0.4452449567723343,309,694,0.03335732526833234,0.033357325268332294
Jaylon Tyson,0.4821783224283939,0.513671875,263,512,0.03149355257160605,0.031493552571606076
CJ McCollum,0.42360808197844707,0.455012853470437,354,778,0.03140477149198996,0.03140477149198995
Josh Hart,0.46631309162501094,0.49746192893401014,196,394,0.031148837308999172,0.0311488373089992
Norman Powell,0.44296381944937135,0.4739010989010989,345,728,0.030937279451727546,0.03093727945172753
Miles McBride,0.40309195485840177,0.43370165745856354,157,362,0.030609702600161777,0.03060970260016177
Max Christie,0.43761613728796267,0.4670781893004115,227,486,0.029462052012448895,0.029462052012448836
Landry Shamet,0.4169956066209877,0.44549763033175355,94,211,0.028502023710765816,0.028502023710765823
Michael Porter Jr.,0.4468677547792357,0.4744429882044561,362,763,0.02757523342522038,0.02757523342522039
Joel Embiid,0.46633819039826113,0.4937833037300178,278,563,0.027445113331756612,0.027445113331756643
Ajay Mitchell,0.45941598434224906,0.4868421052631579,222,456,0.02742612092090883,0.027426120920908847
Jaren Jackson Jr.,0.4482640455990577,0.4756606397774687,342,719,0.02739659417841103,0.027396594178411005
Ayo Dosunmu,0.4900064403496482,0.5173745173745173,268,518,0.027368077024869143,0.027368077024869153
Brandon Ingram,0.44695504991915835,0.473568281938326,430,908,0.02661323201916768,0.026613232019167654
Kris Dunn,0.45120928358134,0.47774480712166173,161,337,0.026535523540321737,0.026535523540321737
Will Richard,0.443502489005504,0.46963562753036436,116,247,0.026133138524860374,0.026133138524860378
Jaden McDaniels,0.49279541150545786,0.5186440677966102,306,590,0.025848656291152322,0.02584865629115235
Day'Ron Sharpe,0.5852694940071432,0.610909090909091,168,275,0.025639596901947698,0.025639596901947725
Chet Holmgren,0.5343339949891435,0.5598591549295775,318,568,0.02552515994043401,0.025525159940434028
Darius Garland,0.4255923578478357,0.4509283819628647,170,377,0.025336024115029027,0.025336024115029
Jarrett Allen,0.5978178028735904,0.6231155778894473,248,398,0.025297775015856807,0.025297775015856838
Keyonte George,0.43256516671777623,0.4578005115089514,358,782,0.025235344791175143,0.025235344791175174
Jrue Holiday,0.4304639476048271,0.45375722543352603,157,346,0.02329327782869892,0.023293277828698944
Corey Kispert,0.4407820474461968,0.4637096774193548,115,248,0.022927629973158004,0.022927629973158004
Brice Sensabaugh,0.42794612692072664,0.4502923976608187,231,513,0.022346270740092086,0.022346270740092045
Collin Sexton,0.4595390864031512,0.48148148148148145,221,459,0.021942395078330273,0.021942395078330235
Brandin Podziemski,0.4263984182819368,0.4482758620689655,234,522,0.021877443787028706,0.021877443787028716
Devin Booker,0.4338023539921599,0.45524296675191817,356,782,0.02144061275975827,0.021440612759758282
Mark Williams,0.6439300648161536,0.6648501362397821,244,367,0.020920071423628506,0.020920071423628506
Pascal Siakam,0.4600054225648518,0.4804646251319958,455,947,0.020459202567143956,0.020459202567144008
