sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window,effect_label
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-100.0,-1.9308387398021911,-2.5960505854316525,-1.2656268941727302,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-98.99497487437186,-1.8921179632537564,-2.5340098472031256,-1.2502260793043871,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-97.98994974874373,-1.8533971867053216,-2.4722350183687847,-1.2345593550418585,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-96.98492462311557,-1.8146764101568864,-2.410756952717496,-1.2185958675962762,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-95.97989949748744,-1.7759556336084517,-2.349610969715696,-1.2023002975012074,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-94.9748743718593,-1.7372348570600171,-2.288837572946033,-1.1856321411740014,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-93.96984924623115,-1.6985140805115817,-2.2284832756587054,-1.1685448853644576,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-92.96482412060301,-1.6597933039631472,-2.168601538507854,-1.1509850694184403,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-91.95979899497488,-1.6210725274147122,-2.109253816875566,-1.1328912379538583,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-90.95477386934674,-1.5823517508662777,-2.0505107017818522,-1.114192799950703,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-89.9497487437186,-1.5436309743178431,-1.9924531165619954,-1.0948088320736908,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-88.94472361809045,-1.5049101977694077,-1.935173497992001,-1.0746468975468146,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-87.93969849246231,-1.4661415809625427,-1.8787485668304242,-1.053534595094661,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-86.93467336683418,-1.4271718038339802,-1.8231932351645714,-1.0311503725033893,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-85.92964824120602,-1.3880424916952536,-1.768627977578946,-1.0074570058115613,0.0,2014-2024,shotAngle
NHL,LogisticGAM,Expected Goal,angle,continuous_pdp,-84.92462311557789,-1.348813894528579,-1.7151822779822645,-0.9824455110748936,0.0,2014-2024,shotAngle
