sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window,effect_label
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1200.0,0.07708257713431296,-0.194223075420156,0.3483882296887819,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1193.9698492462312,0.0617135373072093,-0.192872462808932,0.3162995374233506,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1187.9396984924624,0.04628973718248594,-0.19266542287164073,0.2852448972366126,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1181.9095477386934,0.030830880783220882,-0.19372788273709374,0.2553896443035355,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1175.8793969849246,0.01537868029973119,-0.19614038472212653,0.22689774532158888,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1169.8492462311558,-2.515207766856653e-05,-0.19998936530701622,0.1999390611516791,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1163.819095477387,-0.015338904158662736,-0.20535915709911473,0.17468134878178926,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1157.788944723618,-0.030520863752936278,-0.21232024793748766,0.1512785204316151,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1151.7587939698492,-0.0455293186701729,-0.22091446856706015,0.12985583122671437,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1145.7286432160804,-0.06032255672005765,-0.23113935622883058,0.11049424278871525,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1139.6984924623116,-0.0748588657122749,-0.2429354047408458,0.09321767331629605,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1133.6683417085428,-0.08909653345650909,-0.2561802037111193,0.07798713679810113,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1127.6381909547738,-0.10299384776244552,-0.2706918592932916,0.06470416376840052,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1121.608040201005,-0.11650909643976726,-0.2862410654907083,0.053222872611173755,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1115.5778894472362,-0.12960056729815989,-0.3025683977051638,0.04336726310884398,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1109.5477386934674,-0.14222654814730729,-0.31940234294790987,0.03494924665329527,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1103.5175879396984,-0.15434532679689467,-0.33647447156245053,0.027783817968661223,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1097.4874371859296,-0.16591519105660596,-0.35353001940802803,0.02169963729481611,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1091.4572864321608,-0.17689442873612593,-0.37033384998441427,0.016544992512162404,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1085.427135678392,-0.1872413276451389,-0.3866727390256644,0.012190083735386603,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1079.3969849246232,-0.1969141755933297,-0.40235519698997085,0.008526845803311478,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1073.3668341708542,-0.20587126039038284,-0.41720990131617125,0.005467380535405575,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1067.3366834170854,-0.2140708698459825,-0.4310835180132379,0.002941778321272903,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1061.3065326633166,-0.22147129176981328,-0.4438384078026744,0.0008958242630479063,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1055.2763819095478,-0.22803081397155978,-0.45535049562232394,-0.00071113232079556,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1049.2462311557788,-0.23370772426090675,-0.46550743970139846,-0.0019080088204150858,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1043.21608040201,-0.2384603104475383,-0.47420715264633,-0.0027134682487465756,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1037.1859296482412,-0.2422468603411389,-0.4813566837461119,-0.0031370369361659045,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1031.1557788944724,-0.24502566175139323,-0.486871454111438,-0.003179869391348511,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1025.1256281407036,-0.24675500248840881,-0.4906748340794667,-0.0028351708973509138,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1019.0954773869347,-0.2474114535461423,-0.49272764802804897,-0.002095259064235633,0.0,2014-2024,period_seconds_remaining
NHL,LogisticGAM,Expected Goal,clock,continuous_pdp,1013.0653266331658,-0.24704409448706138,-0.49311514257904104,-0.0009730463950817225,0.0,2014-2024,period_seconds_remaining
