sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window,effect_label
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,0.0,2.181859169605339,1.7780286165056922,2.5856897227049855,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,0.5025125628140703,2.1291095918151752,1.732906165831309,2.5253130177990415,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,1.0050251256281406,2.0763600229461607,1.687378475133777,2.4653415707585444,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,1.507537688442211,2.0237132253886605,1.6415129265940722,2.4059135241832488,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,2.0100502512562812,1.9713146267495811,1.5954163591615256,2.3472128943376367,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,2.5125628140703515,1.9192335408639933,1.549134100350381,2.2893329813776058,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,3.015075376884422,1.8675392815669665,1.5027178096039768,2.232360753529956,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,3.517587939698492,1.8163011626935694,1.4562260296815461,2.1763762957055928,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,4.0201005025125625,1.7655884980788716,1.4097245906704656,2.1214524054872776,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,4.522613065326633,1.7154706015579424,1.3632868311913784,2.0676543719245064,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,5.025125628140703,1.6660167869658502,1.3169936098670023,2.015039964064698,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,5.527638190954773,1.6172963681376662,1.2709330918623931,1.9636596444129388,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,6.030150753768844,1.5693786589084588,1.2252003089729553,1.9135570088439624,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,6.532663316582914,1.5223329731132962,1.1798965056182058,1.864769440608387,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,7.035175879396984,1.476228624587249,1.1351282953801758,1.8173289537943225,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,7.537688442211055,1.431134927165386,1.0910066618503431,1.7712631924804287,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,8.040201005025125,1.3871211946827766,1.047645842512841,1.7265965468527127,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,8.542713567839195,1.3442567409744908,1.0051621348883173,1.6833513470606642,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,9.045226130653266,1.302610879875596,0.9636726605677927,1.6415490991833996,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,9.547738693467336,1.2622529252211634,0.9232941159765115,1.6012117344658154,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,10.050251256281406,1.2232500425416126,0.8841392020434456,1.5623608830397795,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,10.552763819095476,1.1856104119604751,0.8462535389634919,1.5249672849574583,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,11.055276381909547,1.1492773611294882,0.8096074233430762,1.4889472989159,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,11.557788944723617,1.1141908926742223,0.7741625719522779,1.454219213396167,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,12.060301507537687,1.0802910092202471,0.739876647027185,1.4207053714133089,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,12.562814070351758,1.047517713393133,0.7067041045334289,1.3883313222528373,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,13.065326633165828,1.0158110078184515,0.6745969409645546,1.3570250746723485,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,13.567839195979898,0.9851108951217719,0.6435053341097551,1.3267164561337887,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,14.070351758793969,0.9553573779286643,0.6133781755824007,1.2973365802749277,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,14.572864321608039,0.9264904588646995,0.5841634943934438,1.268817423335955,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,15.07537688442211,0.8984501405554478,0.5558087717359753,1.2410915093749204,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,15.57788944723618,0.8711764256264795,0.5282611476000095,1.2140917036529495,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,16.08040201005025,0.8446093167033649,0.5014675199793687,1.1877511134273613,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,16.58291457286432,0.8186888164116738,0.475374537337272,1.1620030954860758,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,17.08542713567839,0.7933549273769777,0.44992848470378655,1.1367813700501688,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,17.587939698492463,0.7685476522248457,0.425075063309733,1.1120202411399585,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,18.09045226130653,0.7442069935808485,0.4007590630394051,1.0876549241222921,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,18.5929648241206,0.7202729540705574,0.37692392624322213,1.0636219818978927,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,19.09547738693467,0.6966868788605814,0.35351110222390913,1.0398626554972537,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,19.597989949748744,0.6733970015974716,0.3304593939203261,1.016334609274617,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,20.100502512562812,0.6503537592027514,0.3077060872021763,0.9930014312033265,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,20.60301507537688,0.6275075895806393,0.2851879893932957,0.969827189767983,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,21.105527638190953,0.6048089306353531,0.2628421556346451,0.9467757056360612,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,21.608040201005025,0.5822082202711117,0.24060650528044325,0.9238099352617802,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,22.110552763819094,0.5596558963921341,0.21842032819359247,0.9008914645906757,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,22.613065326633162,0.5371023969026386,0.19622467938525234,0.8779801144200249,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,23.115577889447234,0.5144981597068436,0.17396265962752666,0.8550336597861606,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,23.618090452261306,0.4917936227089681,0.1515795793658744,0.8320076660520618,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,24.120603015075375,0.4689392238132304,0.12902300340623607,0.8088554442202248,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,24.623115577889443,0.4458854009238492,0.10624267433965157,0.7855281275080469,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,25.125628140703515,0.4225825919450429,0.08319031334952137,0.7619748705405643,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,25.628140703517587,0.3989812347810301,0.0598192977643186,0.7381431717977417,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,26.130653266331656,0.3750317673360297,0.03608421531949946,0.71397931935256,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,26.633165829145725,0.3506846275142602,0.011940295455398209,0.6894289595731221,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,27.135678391959797,0.32589025321994003,-0.012657281964361444,0.6644377884042415,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,27.63819095477387,0.3005996186279293,-0.03775374045881913,0.6389529777146777,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,28.140703517587937,0.2747886168893394,-0.06337464499975703,0.6129518787784359,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,28.643216080402006,0.24846808644262075,-0.08951743327111805,0.5864536061563596,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,29.145728643216078,0.22165147941608632,-0.1161783968695172,0.5594813557016899,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,29.64824120603015,0.19435224793805117,-0.14335412940249265,0.5320586252785949,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,30.15075376884422,0.1665838441368288,-0.17104083882740845,0.504208527101066,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,30.653266331658287,0.13835972014073317,-0.19923376717906893,0.47595320746053527,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,31.15577889447236,0.10969332807807775,-0.22792671989805546,0.44731337605421095,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,31.65829145728643,0.08059812007717754,-0.25711170729323163,0.4183079474475867,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,32.1608040201005,0.05108754826634576,-0.28677870055105903,0.38895379708375055,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,32.66331658291457,0.021175064773896635,-0.31691550416545383,0.35926563371324705,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,33.16582914572864,-0.009125878271856125,-0.34750774579225574,0.3292559892485435,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,33.66834170854271,-0.03980182874259869,-0.3785389834651346,0.2989353259799372,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,34.17085427135678,-0.0708393345100164,-0.409990929003215,0.2683122599831822,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,34.67336683417085,-0.10222494344579602,-0.44184378545476966,0.2373938985631776,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,35.175879396984925,-0.13394520342162347,-0.47407669569411115,0.2061862888508642,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,35.678391959798994,-0.16598666230918444,-0.506668298915247,0.17469497429687808,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,36.18090452261306,-0.19833586798016525,-0.5395973917800014,0.14292565581967098,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,36.68341708542713,-0.23097588241025893,-0.5728408903676332,0.11088912554711539,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,37.1859296482412,-0.2638659506402772,-0.6063580742513545,0.0786261729708001,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,37.688442211055275,-0.29695535949997054,-0.6401013253363006,0.04619060633635941,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,38.19095477386934,-0.33019336231033564,-0.6740233635865231,0.013636638965851822,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,38.69346733668341,-0.36352921239237007,-0.7080766454229998,-0.018981779361740392,33.0151480384,2014-2024,shotDistance
NHL,LogisticGAM,Expected Goal,distance,continuous_pdp,39.19597989949749,-0.39691216306707144,-0.7422128414985592,-0.05161148463558374,33.0151480384,2014-2024,shotDistance
