sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window,effect_label
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,0.0,2.122327656566118,2.0379277300071688,2.2540036558512355,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,0.5025125628140703,2.122327656566118,2.0379277300071688,2.2540036558512355,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,1.0050251256281406,2.122327656566118,2.0379277300071688,2.2540036558512355,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,1.507537688442211,2.122327656566118,2.0379277300071688,2.2540036558512355,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,2.0100502512562812,2.122327656566118,2.0379277300071688,2.2540036558512355,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,2.5125628140703515,2.1204833916809918,2.036493573423531,2.2508938008381403,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,3.015075376884422,2.1145747885408506,2.0311281843828186,2.2420830832376915,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,3.517587939698492,2.105542895639802,2.0223886773423505,2.2294299693557176,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,4.0201005025125625,2.0935939089812194,2.0104929537321126,2.2132083327146015,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,4.522613065326633,2.078934024568472,1.9956589149820894,2.193692046836728,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,5.025125628140703,2.0617694384049328,1.9781044625222637,2.1711549852444834,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,5.527638190954773,2.042306346493974,1.9580474977826219,2.1458710214602505,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,6.030150753768844,2.0207509448389667,1.9357059221931476,2.1181140290064153,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,6.532663316582914,1.9973094294432832,1.911297637183825,2.0887276736018556,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,7.035175879396984,1.9721879963102944,1.885040544184639,2.058970253977606,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,7.537688442211055,1.9455928414433727,1.8571349540652555,2.0290726054121118,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,8.040201005025125,1.9177301608458897,1.8270904256240739,1.9977769115828257,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,8.542713567839195,1.8888061505212173,1.795913143825025,1.9652590554777205,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,9.045226130653266,1.8590270064727268,1.763824770212786,1.9317562797255987,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,9.547738693467336,1.8285989247037902,1.7310469663320338,1.8975058269552576,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,10.050251256281406,1.7977281012177793,1.6978013937274454,1.8627449397954978,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,10.552763819095476,1.7666207320180658,1.6635882086758362,1.8277108608751178,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,11.055276381909547,1.735483013108021,1.629203868652217,1.7926408328229173,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,11.557788944723617,1.7045211404910172,1.5950304255836047,1.7577720982676956,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,12.060301507537687,1.6739413101704266,1.5612944534000557,1.7233418998382521,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,12.562814070351758,1.64394971814962,1.5282225260316262,1.689587480163386,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,13.065326633165828,1.6147525604319695,1.496041217408372,1.656746081871897,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,13.567839195979898,1.5865560330208468,1.4649771014603497,1.6250549475925833,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,14.070351758793969,1.559566331919624,1.435256752117615,1.5947513199542465,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,14.572864321608039,1.533989653131672,1.4071067433102245,1.5660724415856837,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,15.07537688442211,1.5100321926603635,1.380753648968234,1.5392555551156948,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,15.57788944723618,1.487900146509069,1.3564240430216996,1.5145379031730795,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,16.08040201005025,1.4677991427293509,1.3343424620399218,1.4927482543384143,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,16.58291457286432,1.44982670784623,1.3145921268150045,1.4747956261666906,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,17.08542713567839,1.4338449590868554,1.297021014146088,1.4593268700909374,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,17.587939698492463,1.4196850381424309,1.2814543929730036,1.4461375073606983,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,18.09045226130653,1.4071780867041594,1.2677175322355831,1.4350230592255175,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,18.5929648241206,1.3961552464632452,1.255635700873657,1.425779046934937,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,19.09547738693467,1.386447659110892,1.2450341678270567,1.4187415848952505,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,19.597989949748744,1.3778864663383028,1.2357382020356131,1.41402388808727,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,20.100502512562812,1.3703028098366814,1.2275730724391578,1.4106358576111244,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,20.60301507537688,1.3635278312972319,1.2203640479775213,1.4083613713956704,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,21.105527638190953,1.3573926724111574,1.213936397590535,1.4069843073697643,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,21.608040201005025,1.351728474869661,1.2075020543416233,1.4062885434622634,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,22.110552763819094,1.3463663803639476,1.2006824178600364,1.406057957602024,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,22.613065326633162,1.3411375305852204,1.1941083611559513,1.4084194554759066,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,23.115577889447234,1.3358730672246821,1.1876192338438591,1.4109408643434136,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,23.618090452261306,1.3304041319735371,1.181054385538251,1.4132404787719592,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,24.120603015075375,1.3245618665229895,1.1742531658536177,1.415076662710584,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,24.623115577889443,1.3181774125642423,1.1670549244044506,1.4162077801083257,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,25.125628140703515,1.3110819117884982,1.1592990108052408,1.416392194914225,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,25.628140703517587,1.3031065058869626,1.1508247746704794,1.415388271077321,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,26.130653266331656,1.2940823365508378,1.1414715656146568,1.4129543725466527,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,26.633165829145725,1.2838405454713282,1.1310787332522652,1.4088488632712597,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,27.135678391959797,1.272212274339637,1.119485627197795,1.40283010720018,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,27.63819095477387,1.259028664846968,1.1065315970657381,1.3946564682824552,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,28.140703517587937,1.2441208586845245,1.0920559924705844,1.3840863104671233,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,28.643216080402006,1.2273199975435105,1.0758981630268256,1.3708779977032242,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,29.145728643216078,1.2084572231151292,1.057897458348953,1.3547898939397969,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,29.64824120603015,1.1873636770905844,1.0378932839478179,1.33558037713119,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,30.15075376884422,1.163906735817163,1.0157905891566414,1.313065966967518,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,30.653266331658287,1.1381705882226139,0.9916986912797074,1.2873640188407016,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,31.15577889447236,1.110319710686186,0.9657689279036821,1.2586948565286857,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,31.65829145728643,1.0805187100119866,0.9381526527356696,1.22727895801463,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,32.1608040201005,1.048932193004123,0.9090012194827725,1.1933368012816936,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,32.66331658291457,1.0157247664667013,0.8784659818520921,1.1570888643130373,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,33.16582914572864,0.9810610372038284,0.8466982935507323,1.1187556250918196,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,33.66834170854271,0.9451056120196104,0.813849508285795,1.0785575616012004,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,34.17085427135678,0.9080230977181545,0.7800709797643841,1.0367151518243403,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,34.67336683417085,0.8699781011035674,0.7455140616936011,0.9934488737443975,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,35.175879396984925,0.8311352289799556,0.7103301077805495,0.9489792053445322,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,35.678391959798994,0.7916590881514263,0.6746704717323312,0.9038679927867452,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,36.18090452261306,0.7517142854220857,0.6386865072560499,0.8607491862241122,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,36.68341708542713,0.7114654275960404,0.6010554818356317,0.817096599350619,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,37.1859296482412,0.6710771214773974,0.5633587612588601,0.7730975982294088,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,37.688442211055275,0.6307139738702627,0.5258425890564916,0.7289395489236239,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,38.19095477386934,0.5905405915787441,0.4886723056425504,0.6848098174964091,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,38.69346733668341,0.5507215814069477,0.4520132514310602,0.6408957700109063,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,39.19597989949749,0.5114215501589796,0.41603076683604395,0.5981538800098434,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,39.698492462311556,0.4728051046389474,0.38089019227152576,0.5574141956117808,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,40.201005025125625,0.43503685165095796,0.34675686815152973,0.5173187049362763,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,40.70351758793969,0.39828139799911666,0.3137961348900795,0.4780319634049257,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,41.20603015075376,0.36270335048753166,0.28217333290119795,0.442275217343447,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,41.70854271356784,0.328467315920308,0.2520538025989089,0.4093420318981192,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,42.211055276381906,0.29573790110155374,0.22360288439723666,0.3772322304446113,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,42.713567839195974,0.2646797128353757,0.19698591871020454,0.34605875508450606,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,43.21608040201005,0.2354573579258794,0.17236622417935507,0.3159345479193833,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,43.71859296482412,0.20822891438873148,0.14984932173611099,0.2869645753834472,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,44.22110552763819,0.1830188913114097,0.12936995775691496,0.25916734108014305,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,44.723618090452256,0.15972684451872032,0.11081129179363863,0.23249756368158378,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,45.226130653266324,0.13824752658204398,0.09405642861814072,0.20690789294997045,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,45.7286432160804,0.1184756900727626,0.07898847300228032,0.18235097864750288,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,46.23115577889447,0.10030608756225812,0.06549052971791694,0.15877947053638233,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,46.73366834170854,0.08363347162191292,0.05337696786212879,0.13614601837880985,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,47.23618090452261,0.06835259482310718,0.041763289095617905,0.11440327193698542,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,47.73869346733668,0.05435820973722416,0.031639562333894,0.09350388097311052,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,48.24120603015075,0.04154506893564536,0.022936345787324564,0.0734139788330846,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,48.74371859296482,0.029807924989750934,0.01553721036828023,0.054235685537565595,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,49.24623115577889,0.01904153047092505,0.009325726989131288,0.035640812998444675,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,49.74874371859296,0.009140637950547426,0.004185466562248008,0.017579028668372087,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,50.25125628140703,0.0,0.0,0.0,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,50.7537688442211,-0.008485630809334399,-0.017146605554022677,-0.0033471017852411355,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,51.256281407035175,-0.01642150190607472,-0.033911120541044434,-0.0059722678811061514,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,51.75879396984924,-0.023912860718839468,-0.05034387750841409,-0.007991927375224183,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,52.26130653266331,-0.031064954676246703,-0.0664952090034814,-0.009522509355225327,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,52.76381909547738,-0.037983031206914486,-0.08241544757359645,-0.010680442908739082,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,53.26633165829145,-0.04477233773946088,-0.09815492576610699,-0.011582157123395108,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,53.768844221105525,-0.05153812170250527,-0.11376397612836422,-0.01234408108682363,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,54.27135678391959,-0.05838563052466528,-0.12929293120771634,-0.013082643886653575,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,54.77386934673366,-0.06542011163455896,-0.14479212355151247,-0.013914274610514882,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,55.27638190954774,-0.07274681246080483,-0.16031188570710247,-0.014955402346037577,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,55.778894472361806,-0.08047098043202094,-0.17590255022183535,-0.016322456180851604,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,56.281407035175874,-0.08869786297682625,-0.19161444964306046,-0.018131865202585723,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,56.78391959798994,-0.09753270752383836,-0.2074979165181276,-0.02050005849887077,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,57.28643216080401,-0.10708060508816164,-0.2236032012724838,-0.02354214503024416,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,57.78894472361809,-0.11740559643548121,-0.2399590016890711,-0.027327467891816275,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,58.291457286432156,-0.12847591707053985,-0.2565437148445385,-0.03184223232710359,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,58.793969849246224,-0.1402461596669915,-0.2770851701424128,-0.03706194836138395,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,59.2964824120603,-0.15267091689849233,-0.2990788533749814,-0.04296212601993625,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,59.79899497487437,-0.16570478143869583,-0.32171817559039634,-0.049518275328039436,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,60.30150753768844,-0.17930234596125727,-0.3449365921766579,-0.056705906310970805,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,60.804020100502505,-0.1934182031398315,-0.368667558521767,-0.06450052899401025,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,61.306532663316574,-0.20800694564807287,-0.39284453001372316,-0.07287765340243543,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,61.80904522613065,-0.22302316615963624,-0.4174009620405284,-0.08181278956152499,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,62.31155778894472,-0.23842145734817644,-0.44227030999018135,-0.09128144749655807,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,62.81407035175879,-0.2541564118873483,-0.4673860292506824,-0.10125913723281182,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,63.31658291457286,-0.2701826224508066,-0.4926815752100347,-0.11170313082127131,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,63.81909547738693,-0.2864546817122062,-0.5180904032562361,-0.12143929141487322,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,64.321608040201,-0.3029271823452011,-0.5435459687772878,-0.1315851160741339,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,64.82412060301507,-0.3195547170234474,-0.5689817271611903,-0.14212444220774356,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,65.32663316582914,-0.33629187842059816,-0.5943311337959434,-0.1530411072243903,,2014-2024,Shot Distance
NHL,LogisticGAM,Expected Goal,distance_spline,continuous_pdp,65.82914572864321,-0.35309325921030954,-0.6210115028799271,-0.164318948532766,,2014-2024,Shot Distance
