x_value,fitted_effect,lower_ci,upper_ci,sport,effect_label,season_window,baseline_value
-88.5679038158,-1.4956817807910687,-1.8480117587028522,-1.1433518028792855,NHL,shotAngle,2014-2024,0.0
-87.6783573529015,-1.4700786915727047,-1.8095986763262735,-1.1305587068191358,NHL,shotAngle,2014-2024,0.0
-86.788810890003,-1.4439073899691182,-1.771464419257308,-1.1163503606809289,NHL,shotAngle,2014-2024,0.0
-85.89926442710451,-1.417218296170358,-1.73368136711413,-1.1007552252265866,NHL,shotAngle,2014-2024,0.0
-85.00971796420602,-1.3900618303664738,-1.6963210723495052,-1.0838025883834423,NHL,shotAngle,2014-2024,0.0
-84.12017150130754,-1.3624884127475145,-1.659452856165816,-1.0655239693292131,NHL,shotAngle,2014-2024,0.0
-83.23062503840904,-1.3345484635035292,-1.6231422438767988,-1.045954683130259,NHL,shotAngle,2014-2024,0.0
-82.34107857551055,-1.3062924028245666,-1.5874493108234087,-1.0251354948257247,NHL,shotAngle,2014-2024,0.0
-81.45153211261206,-1.2777706509006763,-1.5524270417591741,-1.0031142600421783,NHL,shotAngle,2014-2024,0.0
-80.56198564971356,-1.2490336279219076,-1.5181198323773613,-0.9799474234664537,NHL,shotAngle,2014-2024,0.0
-79.67243918681507,-1.220131754078309,-1.4845622736429773,-0.9557012345136409,NHL,shotAngle,2014-2024,0.0
-78.78289272391658,-1.1911154495599303,-1.4517783511692692,-0.9304525479505914,NHL,shotAngle,2014-2024,0.0
-77.89334626101808,-1.1620351345568203,-1.4197811601388275,-0.9042891089748133,NHL,shotAngle,2014-2024,0.0
-77.00379979811959,-1.1329412292590284,-1.3885731841167228,-0.8773092744013339,NHL,shotAngle,2014-2024,0.0
-76.1142533352211,-1.103884153856603,-1.3581471224718928,-0.8496211852413134,NHL,shotAngle,2014-2024,0.0
-75.22470687232261,-1.0749143285395946,-1.3284871888238112,-0.821341468255378,NHL,shotAngle,2014-2024,0.0
-74.33516040942412,-1.0460821734980512,-1.2995707547523816,-0.7925935922437208,NHL,shotAngle,2014-2024,0.0
-73.44561394652563,-1.017438108922022,-1.2713701877161014,-0.7635060301279426,NHL,shotAngle,2014-2024,0.0
-72.55606748362713,-0.9890325550015564,-1.2438547321049152,-0.7342103778981977,NHL,shotAngle,2014-2024,0.0
-71.66652102072864,-0.9609159319267034,-1.2169923037595027,-0.704839560093904,NHL,shotAngle,2014-2024,0.0
-70.77697455783014,-0.9331386598875125,-1.1907511032399536,-0.6755262165350716,NHL,shotAngle,2014-2024,0.0
-69.88742809493165,-0.9057511590740326,-1.1651009927283642,-0.646401325419701,NHL,shotAngle,2014-2024,0.0
-68.99788163203317,-0.8788038496763131,-1.14001461830106,-0.6175930810515662,NHL,shotAngle,2014-2024,0.0
-68.10833516913468,-0.8523471518844024,-1.1154682888052427,-0.5892260149635622,NHL,shotAngle,2014-2024,0.0
-67.21878870623618,-0.8264314858883501,-1.0914426430126196,-0.5614203287640805,NHL,shotAngle,2014-2024,0.0
-66.32924224333769,-0.8011072718782052,-1.067923148597133,-0.5342913951592774,NHL,shotAngle,2014-2024,0.0
-65.4396957804392,-0.7764249300440171,-1.0449004815572316,-0.5079493785308029,NHL,shotAngle,2014-2024,0.0
-64.5501493175407,-0.7524348805758347,-1.0223708351681167,-0.4824989259835529,NHL,shotAngle,2014-2024,0.0
-63.66060285464221,-0.7291875436637075,-1.000336205472043,-0.458038881855372,NHL,shotAngle,2014-2024,0.0
-62.77105639174371,-0.7067309796603476,-0.9788034096827818,-0.4346585496379133,NHL,shotAngle,2014-2024,0.0
-61.88150992884522,-0.685073611025707,-0.9577643255501889,-0.4123828965012251,NHL,shotAngle,2014-2024,0.0
-60.99196346594673,-0.6641909699868598,-0.9372002329793547,-0.3911817069943649,NHL,shotAngle,2014-2024,0.0
-60.10241700304824,-0.6440575932145041,-0.9170982991339834,-0.3710168872950246,NHL,shotAngle,2014-2024,0.0
-59.212870540149744,-0.6246480173793377,-0.8974508161468382,-0.3518452186118374,NHL,shotAngle,2014-2024,0.0
-58.32332407725126,-0.6059367791520593,-0.8782540633386411,-0.3336194949654775,NHL,shotAngle,2014-2024,0.0
-57.43377761435276,-0.5878984152033663,-0.8595073097288122,-0.3162895206779203,NHL,shotAngle,2014-2024,0.0
-56.54423115145427,-0.5705074622039569,-0.8412119280990953,-0.29980299630881846,NHL,shotAngle,2014-2024,0.0
-55.654684688555776,-0.5537384568245293,-0.8233705977019976,-0.2841063159470609,NHL,shotAngle,2014-2024,0.0
-54.76513822565728,-0.5375659357357813,-0.8059865782394613,-0.2691452932321011,NHL,shotAngle,2014-2024,0.0
-53.875591762758795,-0.5219644356084111,-0.7890630429028411,-0.2548658283139811,NHL,shotAngle,2014-2024,0.0
-52.9860452998603,-0.5069084931131168,-0.7726024630436613,-0.2412145231825723,NHL,shotAngle,2014-2024,0.0
-52.09649883696181,-0.4923726449205962,-0.756606041418361,-0.2281392484228314,NHL,shotAngle,2014-2024,0.0
-51.20695237406331,-0.4783314277015476,-0.74107319487853,-0.21558966052456507,NHL,shotAngle,2014-2024,0.0
-50.31740591116482,-0.46475937812666873,-0.7260010907887476,-0.20351766546458983,NHL,shotAngle,2014-2024,0.0
-49.42785944826633,-0.45163103286665807,-0.7113842442485907,-0.19187782148472543,NHL,shotAngle,2014-2024,0.0
-48.53831298536784,-0.4389209285922132,-0.6972141852651988,-0.18062767191922757,NHL,shotAngle,2014-2024,0.0
-47.648766522469344,-0.42660360197403246,-0.6834792062733268,-0.16972799767473806,NHL,shotAngle,2014-2024,0.0
-46.75922005957085,-0.41465358968281374,-0.6701642007775226,-0.15914297858810483,NHL,shotAngle,2014-2024,0.0
-45.86967359667236,-0.40304542838925517,-0.6572506034089738,-0.14884025336953655,NHL,shotAngle,2014-2024,0.0
-44.98012713377387,-0.39175365476405477,-0.6447164404445425,-0.13879086908356714,NHL,shotAngle,2014-2024,0.0
-44.090580670875376,-0.38075280547791057,-0.6325364980126791,-0.12896911294314217,NHL,shotAngle,2014-2024,0.0
-43.20103420797688,-0.3700174172015205,-0.6206826130713676,-0.11935222133167334,NHL,shotAngle,2014-2024,0.0
-42.31148774507839,-0.35952202660558263,-0.6091240900958044,-0.1099199631153609,NHL,shotAngle,2014-2024,0.0
-41.4219412821799,-0.34924117036079527,-0.597828244573571,-0.10065409614801968,NHL,shotAngle,2014-2024,0.0
-40.53239481928141,-0.3391493851378561,-0.5867610731469344,-0.0915376971287778,NHL,shotAngle,2014-2024,0.0
-39.64284835638291,-0.3292212076074633,-0.5758880497511969,-0.08255436546372963,NHL,shotAngle,2014-2024,0.0
-38.75330189348442,-0.319431174440315,-0.565175047429039,-0.07368730145159097,NHL,shotAngle,2014-2024,0.0
-37.863755430585925,-0.3097538351456839,-0.5545893993520556,-0.06491827093931202,NHL,shotAngle,2014-2024,0.0
-36.97420896768744,-0.30017026122886004,-0.5441076308083189,-0.05623289164940115,NHL,shotAngle,2014-2024,0.0
-36.084662504788945,-0.2906786380153903,-0.5337274366838517,-0.04762983934692888,NHL,shotAngle,2014-2024,0.0
-35.19511604189045,-0.2812799239629864,-0.523453434386747,-0.03910641353922584,NHL,shotAngle,2014-2024,0.0
-34.30556957899196,-0.27197507752936034,-0.5132935480853706,-0.030656606973350042,NHL,shotAngle,2014-2024,0.0
-33.41602311609347,-0.26276505717222376,-0.5032581593577101,-0.022271954986737397,NHL,shotAngle,2014-2024,0.0
-32.526476653194976,-0.2536508213492881,-0.4933593067269837,-0.013942335971592557,NHL,shotAngle,2014-2024,0.0
-31.636930190296482,-0.24463332851826536,-0.4836099343915948,-0.005656722644935885,NHL,shotAngle,2014-2024,0.0
-30.747383727397988,-0.23571353713686732,-0.4740231916702667,0.002596117396531983,NHL,shotAngle,2014-2024,0.0
