player,season_window,attempts,mean_sdi,actual_rate,expected_rate,residual,sport,position_group
Alex Ovechkin,2014-2024,5580,25.50470671744156,0.0931899641577061,0.06506259361532013,0.028127370542385968,NHL,W
Nathan MacKinnon,2014-2024,4837,24.513284170487488,0.0822824064502791,0.06673861430210207,0.015543792148177027,NHL,C
Brent Burns,2014-2024,4504,30.10745710810512,0.040408525754884544,0.036989434779565636,0.0034190909753189086,NHL,D
David Pastrnak,2014-2024,4365,25.21539199381401,0.09782359679266896,0.06649837050790595,0.031325226284763,NHL,W
Nikita Kucherov,2014-2024,4082,24.52153052854835,0.09799118079372857,0.06819605765503674,0.02979512313869183,NHL,W
Filip Forsberg,2014-2024,4050,25.1567963937311,0.08592592592592592,0.0719051010181351,0.014020824907790816,NHL,W
John Tavares,2014-2024,4028,20.64443820063216,0.09508440913604767,0.0936633044586261,0.0014211046774215697,NHL,C
Auston Matthews,2014-2024,3980,22.409517120960288,0.10703517587939698,0.08646190949588588,0.020573266383511105,NHL,C
Roman Josi,2014-2024,3796,28.366511649241357,0.04715489989462592,0.04234519077313842,0.004809709121487503,NHL,D
Patrick Kane,2014-2024,3728,25.688693598688225,0.08851931330472103,0.06631853313244475,0.02220078017227628,NHL,W
Sidney Crosby,2014-2024,3653,23.97077792384427,0.1042978373939228,0.08416130117779351,0.02013653621612929,NHL,C
Nazem Kadri,2014-2024,3630,23.550250921388184,0.0765840220385675,0.07639121067232847,0.00019281136623902628,NHL,C
Connor McDavid,2014-2024,3594,22.208461997684857,0.11185308848080133,0.09488091667707765,0.01697217180372368,NHL,C
Tyler Seguin,2014-2024,3563,24.142135779349598,0.08083076059500421,0.07643633058887332,0.004394430006130892,NHL,C
Vladimir Tarasenko,2014-2024,3480,23.88090795972239,0.09166666666666666,0.07418129562845316,0.0174853710382135,NHL,W
Victor Hedman,2014-2024,3451,27.78328462913263,0.047522457258765576,0.04193025969533537,0.005592197563430205,NHL,D
Brad Marchand,2014-2024,3432,23.857658699983304,0.10955710955710955,0.07531374793730054,0.03424336161980901,NHL,C
Mika Zibanejad,2014-2024,3417,25.270615533906376,0.09043020193151888,0.07172669706051008,0.018703504871008803,NHL,C
Steven Stamkos,2014-2024,3415,23.868614956802443,0.11332357247437774,0.07439204958077192,0.038931522893605824,NHL,C
Leon Draisaitl,2014-2024,3397,24.168824109679615,0.13246982631733883,0.08830111434392934,0.04416871197340949,NHL,C
Tyler Toffoli,2014-2024,3393,24.035316148303192,0.08458591217211907,0.07796847071944156,0.006617441452677508,NHL,C
Sebastian Aho,2014-2024,3375,23.549778988123677,0.09718518518518518,0.08133398480348004,0.015851200381705136,NHL,W
Jonathan Marchessault,2014-2024,3341,24.92535992206367,0.08500448967375038,0.06989555207147051,0.015108937602279868,NHL,C
Jeff Skinner,2014-2024,3338,23.935866956220945,0.08208508088675853,0.08369595922269368,-0.0016108783359351508,NHL,C
Dougie Hamilton,2014-2024,3336,29.680547288701508,0.043764988009592325,0.04011674892573068,0.0036482390838616444,NHL,D
Patrice Bergeron,2014-2024,3321,21.949589062748235,0.08099969888587774,0.0739351293989319,0.0070645694869458375,NHL,C
Evander Kane,2014-2024,3289,24.406199500062495,0.07874733961690483,0.0769254315144605,0.0018219081024443279,NHL,W
Artemi Panarin,2014-2024,3282,25.438037658285175,0.09841560024375381,0.065987890946528,0.03242770929722581,NHL,C
Erik Karlsson,2014-2024,3268,29.487288578349176,0.043451652386780906,0.0391453836928152,0.004306268693965706,NHL,D
Max Pacioretty,2014-2024,3248,25.170978292422895,0.0772783251231527,0.06718417811217232,0.010094147010980381,NHL,W
Joe Pavelski,2014-2024,3218,20.89906842391796,0.10348042262274705,0.08892790682523945,0.014552515797507604,NHL,C
Alex Pietrangelo,2014-2024,3205,28.856357313571102,0.038377535101404056,0.04100373723457819,-0.0026262021331741325,NHL,D
John Carlson,2014-2024,3199,28.649394205695305,0.04345107846201938,0.042069331564799445,0.0013817468972199334,NHL,D
Jamie Benn,2014-2024,3198,22.24869583586816,0.09568480300187618,0.09096170224428364,0.004723100757592538,NHL,W
Vincent Trocheck,2014-2024,3169,23.405978266095367,0.07415588513726727,0.08095689535051849,-0.0068010102132512185,NHL,C
Chris Kreider,2014-2024,3115,21.66717904671899,0.11043338683788122,0.09141986182683601,0.01901352501104521,NHL,C
Claude Giroux,2014-2024,3086,25.506294006100266,0.08165910563836681,0.06430312547741922,0.017355980160947596,NHL,W
Timo Meier,2014-2024,3081,24.073352304139416,0.07432651736449204,0.07797134879817336,-0.0036448314336813142,NHL,W
William Nylander,2014-2024,3066,23.497133107803553,0.09328114807566862,0.07938199202825727,0.013899156047411348,NHL,W
Jack Eichel,2014-2024,3049,26.312662594851748,0.08133814365365694,0.06602854693189995,0.015309596721756982,NHL,C
Aleksander Barkov,2014-2024,3044,22.645842787361524,0.09921156373193167,0.08124482977668471,0.017966733955246963,NHL,C
Mikko Rantanen,2014-2024,3031,24.474180181203465,0.11118442758165623,0.07649170678347592,0.03469272079818031,NHL,W
Dylan Larkin,2014-2024,3030,24.718465426843792,0.0801980198019802,0.07507783992064897,0.005120179881331233,NHL,C
Rickard Rakell,2014-2024,3025,23.179128497905406,0.08165289256198346,0.08151013540124168,0.00014275716074178824,NHL,W
Sam Reinhart,2014-2024,3020,21.920060758908477,0.1076158940397351,0.09172472148929904,0.015891172550436053,NHL,C
Matthew Tkachuk,2014-2024,3000,23.344122233600636,0.09066666666666667,0.0858237893074514,0.004842877359215278,NHL,W
Anders Lee,2014-2024,2994,19.746485861838963,0.09652638610554443,0.09817977186107207,-0.0016533857555276477,NHL,C
Brendan Gallagher,2014-2024,2979,22.9505484939401,0.07150050352467271,0.08610730586584613,-0.014606802341173411,NHL,W
Mikael Backlund,2014-2024,2967,24.237886792651793,0.06235254465790361,0.07338990927062011,-0.011037364612716503,NHL,C
Kyle Palmieri,2014-2024,2881,24.099832049784283,0.08781673030197848,0.08068065365654976,0.0071360766454287156,NHL,C
Evgeni Malkin,2014-2024,2871,23.146811573087387,0.10414489724834552,0.08088130461054131,0.023263592637804212,NHL,C
Nikolaj Ehlers,2014-2024,2869,25.917919861283153,0.08121296619031021,0.0641176930278654,0.017095273162444816,NHL,W
Johnny Gaudreau,2014-2024,2869,24.526298880717615,0.08748692924363889,0.07183997813063245,0.015646951113006444,NHL,W
Kris Letang,2014-2024,2867,28.999686647050904,0.044994768050226716,0.04095331537382541,0.004041452676401304,NHL,D
Brock Nelson,2014-2024,2858,20.985527543058186,0.10986703988803359,0.08881199191492359,0.021055047973110003,NHL,C
Viktor Arvidsson,2014-2024,2822,25.127750917937064,0.07335223245924875,0.07312820301595456,0.0002240294432941936,NHL,W
Bo Horvat,2014-2024,2820,21.82304219219449,0.09964539007092199,0.08522729287705502,0.014418097193866969,NHL,C
Craig Smith,2014-2024,2814,24.154900353578903,0.06645344705046198,0.07372168633397655,-0.007268239283514569,NHL,C
Justin Faulk,2014-2024,2813,28.617691274242894,0.041237113402061855,0.04012625027381204,0.0011108631282498171,NHL,D
Ryan Nugent-Hopkins,2014-2024,2783,21.90600837016603,0.09090909090909091,0.08892984678315152,0.001979244125939389,NHL,C
Blake Wheeler,2014-2024,2781,23.855193822993943,0.07515282272563827,0.07306675498681887,0.0020860677388193916,NHL,W
Morgan Rielly,2014-2024,2776,29.32004274251042,0.035662824207492796,0.03974257049205073,-0.004079746284557935,NHL,D
Taylor Hall,2014-2024,2775,23.960749271620728,0.07423423423423424,0.07694000751946925,-0.002705773285235011,NHL,W
Kyle Connor,2014-2024,2767,22.99452145457028,0.11022768341163715,0.08110440889918921,0.029123274512447936,NHL,W
Matt Duchene,2014-2024,2751,23.528718421409007,0.10141766630316248,0.08480441528071003,0.016613251022452452,NHL,C
Zach Hyman,2014-2024,2749,19.730985985148042,0.09748999636231356,0.11063926213658391,-0.01314926577427035,NHL,W
Phil Kessel,2014-2024,2729,24.708126382354468,0.07731769879076585,0.07088718654374507,0.006430512247020778,NHL,C
Mark Scheifele,2014-2024,2727,20.696255180707873,0.1276127612761276,0.09280204291640086,0.03481071835972675,NHL,C
Brady Tkachuk,2014-2024,2718,23.275344717677992,0.0717439293598234,0.08964344714267646,-0.01789951778285305,NHL,W
Elias Lindholm,2014-2024,2712,22.322408889324887,0.0881268436578171,0.08448200327951237,0.003644840378304731,NHL,C
Tomas Hertl,2014-2024,2693,20.410853292577787,0.09766060155959896,0.09957811265429493,-0.00191751109469597,NHL,C
Kevin Fiala,2014-2024,2682,24.228716714146653,0.08389261744966443,0.07550187296847412,0.008390744481190315,NHL,W
Aaron Ekblad,2014-2024,2675,28.533173248819555,0.04747663551401869,0.04340900337026416,0.004067632143754531,NHL,D
Reilly Smith,2014-2024,2659,22.73844903833797,0.08537044001504325,0.08469138759898508,0.0006790524160581735,NHL,W
Brandon Saad,2014-2024,2658,21.6838858829947,0.09668924003009782,0.08709390690361526,0.009595333126482558,NHL,W
